UniProt ID	Genes	AZ	GWAS	LRRK2	Lyso	20210407-480 MouseBrain_VPS35 DNWT Project 1 (Up = DN)			20210726-480 MouseLung_VPS35 DNWT Project 2 (Up = DN)			20240324-Astral MEFs_VPS35 DNWT Project 3 (Up = DN)			20230501-480 MouseBrain_VPS35DN_MLi2 Project 4 (Up = MLi2)			20230215-480 MouseLung_VPS35DN_MLi2 Project 5 (Up = MLi2)			20240324-Astral MEFs_VPS35DN_MLi2 Project 6 (Up = MLi2)			20201224/20201231-480 MouseBrain_LRRK2-RCWT Project 7 (Up = RC)			20201224/20210102-480 MouseLung_LRRK2-RCWT Project 8 (Up = RC)			20240502-Astral MEFs_LRRK2-RCWT Project9 (Up = RC)			20230601-480 MouseBrain_LRRK2-KOWT Project 10 (UP = KO)			20230507-480 MouseLung_LRRK2-KOWT Project 11 (UP = KO)			20240619-Astral MEFs_LRRK2-KOWT Project12 (UP = KO)			
						Conf.	Log2 FC	Enrich	Conf.	Log2 FC	Enrich	Conf.	Log2 FC	Enrich	Conf.	Log2 FC	Enrich	Conf.	Log2 FC	Enrich	Conf.	Log2 FC	Enrich	Conf.	Log2 FC	Enrich	Conf.	Log2 FC	Enrich	Conf.	Log2 FC	Enrich	Conf.	Log2 FC	Enrich	Conf.	Log2 FC	Enrich	Conf.	Log2 FC	Enrich	
P01644;P01645						0.472594972	-0.406616688	-																						5.144965627	2.931537946	Enriched							2.934442322	1.002709389	-	
P01665;P01666						0.217437326	-0.29874115	-																																		
Q7TSF1	Dsg1b					0.839637025	-0.876129723	-	0.639115455	-0.668222427	-																															
P63268	Actg2					0.136528914	1.193673611	-																			0.214638452	-0.057261944	Enriched				0.722007174	0.140619914	-							
Q9Z139	Ror1					0.601469838	-0.348243713	-	2.183946103	0.718735886	-							3.039199407	-0.691836357	Enriched																						
Q60806	Plk3					0.55081544	-0.615621948	-																																		
O88689	Pcdha4					0.188309951	-0.116897583	-																									0.104294023	0.028191884	-							
P01863;P01865	Ighg;Ighg2a					0.403593757	-0.332287979	-				1.263254526	0.252095222	-	0.28743006	0.212661107	-	2.103926668	0.698307355	-	0.466283406	0.367878914	-	0.629821705	-0.283140659	-	1.040328049	0.742078304	-	4.478526894	3.886004448	-				1.191921656	-0.332636833	-	1.919246086	0.878200213	-	
P05214	Tuba3a					0.116288735	0.045257568	-																0.704689313	0.154071808	-																
P10404						0.126737605	-0.149991226	-	0.65687241	-0.22178154	-	4.322160581	0.421047846	-				0.011541464	-0.010403951	-	1.634390751	0.211720467	-				0.109509907	-0.037310123	Enriched	4.239952363	0.626419703	Enriched				0.204793903	0.099387487	-	9.006558753	1.667678833	Enriched	
P60710	Actb					0.23093957	0.156679535	-																																		
P61205	Arf3					0.91647261	-0.536581039	-																																		
P68134	Acta1					0.201247696	0.46770401	-				0.663115657	-0.14795049	-										0.152285898	0.037807465	-										0.742792379	-1.385045687	-				
P68369	Tuba1a					0.920761228	0.196837234	-																1.025745158	0.264722824	-							1.82888199	0.276062648	-							
P70670	Naca					0.363434552	-0.238279343	-				0.106938237	0.052562396	-				0.877779932	-0.422738711	-	0.221962654	0.112505277	-							3.90762162	3.961315791	-	0.368705796	0.111016273	-				1.571214529	0.398316701	-	
Q00896;P07758	Serpina1a;Serpina1c					0.021841796	0.02577095	-																									0.156403937	-0.08907191	-							
Q6R0H7;P63094	Gnas					0.422441448	-0.12788353	-										0.22388788	0.155927976	Enriched	1.21790102	0.192724546	-				0.675308887	-0.060935974	Enriched				1.007602269	0.102682114	-							
Q7TN79;O55074	Akap7					1.06936869	-0.177763367	-							0.241168152	0.075331688	-																0.188068042	0.067984899	-	2.907142617	0.653205236	-				
Q8BPB0	Mob1b					0.997918251	-0.2866436	-							0.230285634	-0.103835742	-										0.184099257	-0.096450329	-													
A0A1W2P872	Nova2					0.060954174	-0.041581345	-							1.161269248	0.179506302	-							0.001352811	0.000988483	-							0.133395946	0.035559972	-	0.397836779	-0.552740097	-				
A1L314	Mpeg1					0.062679434	0.094305801	Enriched	0.104816298	0.040114594	Enriched				0.917847104	0.508915583	Enriched	0.730547417	0.383336703	Enriched				0.114282978	-0.070115089	Enriched	0.179693064	0.05793047	Enriched				0.093871224	0.046094894	Enriched	0.30947549	-0.061859449	Enriched				
A1L3P4	Slc9a6					0.122339771	-0.121435928	-	1.060258041	0.271776581	Enriched	0.298989638	0.08558019	-	0.613210961	0.304683367	-	1.247907285	0.375048002	-	0.049449181	0.015400569	-	0.3897517	-0.183362007	-	0.369335331	-0.07875967	Enriched	4.365046303	0.68341732	Enriched	0.103621204	0.036255836	-	1.616508945	0.22105821	Enriched	8.297876834	1.417929967	Enriched	
A2A432	Cul4b					0.109809946	-0.027846146	-	0.957881575	0.368580246	-	3.702544294	0.931708336	-	0.425138371	-0.100669861	-	1.015318668	-0.472836177	-	0.22355246	-0.167415301	-	0.392693819	0.132272243	-	0.422868621	0.237439632	Enriched	8.087766802	2.026964506	-	0.137650124	0.07669576	-	0.888829006	-0.280960083	-	0.208354186	-0.1332798	Enriched	
A2A4P0	Dhx8					0.626040968	0.567927551	-	1.118421044	0.584629059	-	2.069081048	0.902980487	-	1.286653776	0.609106382	-	0.063266243	0.046492894	-	0.221003536	-0.210310618	-				0.295940626	0.129706383	-	8.074352633	2.074131648	-				0.564953038	-0.30177625	-	0.571279716	-0.311038017	Enriched	
A2A5R2	Arfgef2					0.12715292	0.032482147	-	0.063922649	0.022885132	-	0.853803875	0.221043269	-	1.470848011	-0.250606855	-	0.437653593	0.117743492	-	0.260481131	-0.129365285	-	0.809061442	0.216199875	-	0.210146034	-0.156280041	-	3.153716324	0.914999962	-	0.188448412	0.053709666	-	0.160568217	-0.071262042	-	4.78143655	1.379514376	Enriched	
A2A5Z6	Smurf2					1.02611629	0.297480392	Enriched	1.038645859	-0.253190613	Enriched	1.525616239	-0.578056018	Enriched	1.107510739	0.318268458	-	0.758433092	0.290608724	-	0.573269996	0.213587761	Enriched				0.476458137	0.074366093	Enriched	1.508362608	0.745238304	Enriched				0.526525606	-0.132656097	-	0.796891768	-0.304701805	Enriched	
A2A690	Tanc2					0.087028952	0.050915146	-							0.149408891	-0.043801943	-	0.690010332	-0.149216652	-				0.896042438	0.176221848	Enriched	0.247691849	-0.114946842	-				0.882354212	0.187565486	-							
A2A699	Fam171a2		PD-GW			0.056460709	-0.021818924	-				0.701386897	0.137965202	Enriched	1.24510805	-0.17420578	-				1.785548369	0.245565732	-	0.004711698	0.001382351	-				0.055036805	0.047196388	-	0.269645518	0.025565465	-				0.491247949	-0.22160244	Enriched	
A2A6A1	Gpatch8					0.141283242	-0.132128906	-				0.498884297	-0.146267255	-	0.94413459	0.444519361	-	0.136754032	-0.073245684	-	0.002088848	-0.000817617	-	0.042304894	-0.049872398	Enriched	0.564749789	-0.165764809	Enriched	3.717456043	2.108100573	-	0.01456113	-0.010860125	-	0.222016254	0.145148913	-	0.069420917	0.039674123	Enriched	
A2A6Q5	Cdc27					0.128003817	0.11230545	-	0.268844394	0.176876736	-	2.041989481	0.320591927	-	0.252009127	0.13828373	-	0.166500816	-0.070866903	-	0.047570548	-0.0320158	-	0.297244991	-0.228713036	-	1.507986763	-0.623780251	-	6.949761793	2.377038956	-	0.063059852	-0.035957654	-	0.338339237	-0.178795815	-	0.064323345	-0.017818451	-	
A2A6T1	Cdr2l					0.910814893	0.224977875	-				0.30002824	-0.241787561	-	0.417993127	0.216853778	-							0.596679495	-0.301343441	-				10.24181825	-13.06798108	-	1.839871252	1.22856884	-	0.57473357	-0.152999878	-				
A2A7S8	Nhsl3					1.19421685	0.306669998	-	0.048994439	0.060015106	-	2.323529675	-0.817584991	-	0.136933341	-0.031058629	-	1.381998613	0.579624176	-	0.031270979	0.018085798	-	0.13341123	-0.087672234	-	1.890313284	-0.399251938	-	3.234613582	1.698934937	Enriched				1.432189027	0.584946314	-	2.681385122	0.815858841	Enriched	
A2A870	Fbf1					0.181167985	0.233175278	-							1.086002986	0.459723473	-							0.194179005	-0.123408318	-	1.013403853	-0.522910595	-													
A2A891	Camta1					0.303388908	-0.220546722	-							0.292336922	0.231571515	-							0.227238802	-0.182950497	Enriched							1.036658505	-0.551327705	-							
A2A8L5	Ptprf					0.182735436	-0.088449478	-	5.146325211	1.376119995	Enriched	0.702814925	-0.139344851	Enriched	0.099088168	-0.026969592	-	1.58972161	-0.74431324	Enriched	0.785942329	0.238783201	Enriched	0.323477146	0.08644104	-	3.890552182	1.126737595	Enriched	1.785152088	0.634472847	Enriched	0.934572723	0.175818761	-	0.004963023	0.001545906	Enriched	0.882970302	0.118436178	Enriched	
A2A8U2	Tmem201					0.41860304	0.494643402	-	0	0.027209282	-	2.684152992	0.909124374	-	0.877855175	0.503092448	-	0.040069021	0.061242199	Enriched	0.215815726	-0.170016925	-							4.770376592	2.154967944	-	0.124962246	0.126083374	-	0.292762026	-0.240784327	-	1.436252434	-0.783102353	Enriched	
