UniProt ID	Genes	AZ	GWAS	LRRK2	Lyso	20210407-480 MouseBrain_VPS35 DNWT Project 1 (Up = DN)		20210726-480 MouseLung_VPS35 DNWT Project 2 (Up = DN)		20240324-Astral MEFs_VPS35 DNWT Project 3 (Up = DN)		20230501-480 MouseBrain_VPS35DN_MLi2 Project 4 (Up = MLi2)		20230215-480 MouseLung_VPS35DN_MLi2 Project 5 (Up = MLi2)		20240324-Astral MEFs_VPS35DN_MLi2 Project 6 (Up = MLi2)		20201224/20201231-480 MouseBrain_LRRK2-RCWT Project 7 (Up = RC)		20201224/20210102-480 MouseLung_LRRK2-RCWT Project 8 (Up = RC)		20240502-Astral MEFs_LRRK2-RCWT Project9 (Up = RC)		20230601-480 MouseBrain_LRRK2-KOWT Project 10 (UP = KO)		20230507-480 MouseLung_LRRK2-KOWT Project 11 (UP = KO)		20240619-Astral MEFs_LRRK2-KOWT Project12 (UP = KO)		
						Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	
P01644;P01645																														
P01665;P01666																														
Q7TSF1	Dsg1b																													
P63268	Actg2																	0.409771123	0.175758362											
Q9Z139	Ror1							0.190125084	-0.105279922																					
Q60806	Plk3																													
O88689	Pcdha4					0.489626873	-0.066173553																							
P01863;P01865	Ighg;Ighg2a																													
P05214	Tuba3a																					2.292134838	-0.235245069							
P10404								0.428745202	-0.212948608	6.775888166	0.487147967			0.560897752	0.348237991	0.592568898	0.048367818			0.048368541	-0.02087307	7.737359378	0.845422427			1.149286665	0.384593328	11.92540429	-1.797158241	
P60710	Actb																													
P61205	Arf3																									1.687192453	-0.779343923			
P68134	Acta1					1.043814147	0.279903412			0.531578489	0.111003876											9.77961892	1.904244741			0.887830687	0.274841626	9.400568742	-1.13938427	
P68369	Tuba1a					1.128358614	-0.53878479	1.556332665	0.273303604									0.246431021	0.297983646	0.210899965	-0.123115063			0.458445477	0.129090945	1.61723976	0.519762357			
P70670	Naca							0.145463191	-0.03656311	0.310073672	0.065608978	0.421360823	-0.098697662	0.80019954	0.189345042	0.501949937	0.168895086	0.195811573	-0.044608116			5.762910078	-0.472602208			3.360017193	0.311469396	0.281195315	-0.07104524	
Q00896;P07758	Serpina1a;Serpina1c																													
Q6R0H7;P63094	Gnas									2.207279712	-0.090073586			1.412417996	-0.125645002													2.023925198	-0.140249888	
Q7TN79;O55074	Akap7																	0.297044404	-0.056157112					0.061155471	0.022370021					
Q8BPB0	Mob1b					0.277944596	0.037910843																							
A0A1W2P872	Nova2					0.01337137	0.00156517	0.24980456	-0.032614136			0.355752319	0.020275434	0.568241565	-0.121390661			0.029662117	0.006611824	0.445015761	-0.131754875			1.209517291	0.090641975	0.140080276	-0.017203649			
A1L314	Mpeg1							0.055625087	0.021866989					1.496945781	0.211481412					0.078026567	0.045828819					0.40813182	-0.062627157			
A1L3P4	Slc9a6					0.257842249	-0.054676437	0.199467389	0.068114853	1.758918149	-0.190870921	0.42157143	-0.046231906	0.04569926	0.009533882	0.363860186	-0.059575081	0.307110066	-0.082692623	0.642615983	-0.146503448	4.257023282	0.864197413	0.62110141	-0.127776146	0.120533104	0.022680283	6.585641715	-1.092726707	
A2A432	Cul4b					0.318780077	-0.031602097	0.878673778	0.102645493	3.267463073	-0.34251531	0.005203791	-0.000403086	0.78552687	0.104162534	0.811159189	0.202589671	0.088370396	-0.016919613	0.334322952	-0.106298923	2.166797692	0.147250493	1.034799136	-0.098940531	0.047960997	-0.007774035	7.396167475	-0.444629351	
A2A4P0	Dhx8									5.452651317	0.382863363			0.546906818	0.226718585	0.599985521	-0.039231936	0.010333966	0.006223679	0.06972086	-0.047049999	1.851093275	0.155791601					2.871871279	0.207714081	
A2A5R2	Arfgef2					0.171381641	0.032188416	0.0570169	0.019247437	6.055237727	-0.441822688	2.244737979	0.049163818	0.798182477	-0.038377126	0.059045059	0.037138621	0.033203674	0.004370213	0.260181118	-0.094736099	6.055755619	-0.642550468	0.03005163	-0.005641301	1.412262535	-0.162883123	6.46395764	-0.716099103	
A2A5Z6	Smurf2					0.050504949	0.023720551	0.350659539	-0.079080582	7.03396409	-0.887925466	0.009193804	-0.003071149	0.409636452	-0.057806333	0.338060642	0.125828425	0.760394712	0.228624503	0.296633788	-0.080817699	0.197809474	0.07042408			0.337572727	0.049389521	0.848889586	0.144945463	
A2A690	Tanc2					0.492046226	-0.052297592	0.674338877	-0.128662491			0.259366092	-0.031049411	0.117847317	-0.024641991			0.509243897	0.095396996	0.466964088	-0.182254314			0.153185667	-0.024263382	1.616269935	-0.26286602			
A2A699	Fam171a2		PD-GW			0.075158547	0.009103775	0.167632863	0.124857712	2.778355288	0.303718249	0.601421797	-0.10205555			0.306471035	0.059400876	0.069026342	-0.016430855	0.150838851	-0.148188591	2.17268284	0.525151571	0.193185304	-0.045051257			2.867829431	-0.717353026	
A2A6A1	Gpatch8					0.534216443	-0.306546402	0.056773747	0.022592545	0.687014146	0.065187136	0.514587352	-0.141008377	0.853530259	0.264701843	0.56494296	0.168483416	0.220581301	0.062097549	0.237690602	-0.064888	3.109759896	-0.341897329	0.561158277	-0.063952446	0.127469049	-0.032856623	2.474012505	0.386133194	
A2A6Q5	Cdc27					0.313905344	0.179491425			0.19672415	0.022710482	0.822327656	0.054365476	0.174280155	-0.04745547	0.504101658	0.085627238	2.013024633	-0.224963665	0.013587553	0.006656647	0.324178374	0.03099823	0.577726362	-0.085433006	0.296590612	0.119224548	6.036029966	0.597119967	
A2A6T1	Cdr2l					0.14883623	-0.082134247	0.013504147	-0.004036713	0.810581828	-0.310901006	0.400566982	-0.136371295	0.538571259	0.156152407	0.148036961	0.079905828	0.989553632	-0.233079433	0.145174417	-0.061386108	0.516325913	-0.532085896	0.080681441	-0.025084178	0.142822519	0.023908297			
A2A7S8	Nhsl3							1.468621595	-0.277173615	2.43765591	-0.282467842			0.905402988	-0.153230031	0.137636022	-0.034100215	0.239896154	0.05065918	0.250593204	-0.072344303	1.572166989	-0.203004201			3.857705464	-0.380910238	1.481451169	0.340349833	
A2A870	Fbf1																													
A2A891	Camta1											0.069954091	-0.027962049											1.009906271	-0.201015155					
A2A8L5	Ptprf					0.292508616	-0.018963242	1.238222916	0.175967026	1.547604453	0.152848244	0.186502938	-0.038955688	1.471839604	0.280858676	0.168466259	-0.024901072	0.069517449	0.012951851	0.432896001	0.122857094	0.143750951	0.00972716	0.29557404	0.056943576	1.968696928	-0.175996463	2.938764375	-0.326670647	
